id,name,relations
p:10,Mark Zuckerberg,1
p:101349,Abraham Shafi,1
p:101679,Anne Ahola Ward,1
p:102962,Isabel Mattos,2
p:103458,Daniel Maloney,2
p:103795,John McGuire,2
p:104,Joseph Smarr,1
p:104606,Florian Laplantif,2
p:106842,Benjamin Cunningham,1
p:107644,Kyle Killion,2
p:108678,Rastislav Turek,1
p:108685,Wayne Pan,3
p:10916,Angelo Sotira,1
p:11,Dustin Moskovitz,2
p:112045,Pierre Lebeau,1
p:11481,Brent Harrison,3
p:115941,Nafis Zebarjadi,2
p:11871,Vikas Gupta,2
p:118868,Chris Collins,1
p:119915,Curtis Chambers,2
p:121271,Rajesh Ramchandani,3
p:123448,Zubin Chagpar,1
p:12356,Brendan Eich,4
p:126383,Andrew Cross,1
p:12764,Kevin Cheng,2
p:129389,Austin Chau,2
p:12966,Jeremy Zawodny,3
p:1308,Steve Loughlin,2
p:130901,Aaron Weissman,1
p:13186,Kevin Marks,2
p:133454,Aravinth Bheemaraj,2
p:13386,Lorna Borenstein,4
p:134072,John Adractas,1
p:13412,Raj Vemulapalli,3
p:134596,Gautam Sampathkumar,3
p:134912,Douglas Purdy,3
p:135934,John Giacamoni,1
p:136815,James Kelm,5
p:137469,Nikhil Nirmel,1
p:1392,Elon Musk,4
p:139424,Jamie Davidson,1
p:14003,Joey Primiani,2
p:140056,George Adams,1
p:14566,Salim Mitha,1
p:14608,Tom McInerney,1
p:14698,Alex Moore,2
p:148669,Nikita Tovstoles,1
p:15018,Chad Dickerson,1
p:153647,Stefan Rust,1
p:156316,Paul D'Arcy,3
p:1577,Martin May,1
p:15792,Brian Chesky,1
p:158523,Willem Van Lancker,3
p:16018,Otilia Otlacan,2
p:160193,Irene Au,3
p:1631,Eric Schmidt,4
p:1632,Sergey Brin,1
p:1633,Larry Page,1
p:1640,Jonathan Schwartz,1
p:1641,Scott McNealy,1
p:165562,Jeff Zhifan Chen,1
p:16648,Adam Hyder,2
p:167,Chad Hurley,2
p:167574,Gregor Bieler,1
p:168,Steve Chen,3
p:169,Jawed Karim,1
p:169709,Alan Brenner,1
p:17017,Alain Raynaud,1
p:171196,Otto Leinsdorf,2
p:172618,Matthew Kochman,2
p:172840,David Leach,2
p:176123,Michael Barnathan,1
p:178559,Tural Badirkhanli,2
p:179893,Christopher Ballard,2
p:18130,Josh Williams,1
p:181325,Matthew Tom-Wolverton,3
p:183006,Ryan Singer,1
p:18793,Daniel Tunkelang,2
p:18823,Aaron Hillegass,1
p:189352,Anto Chittilappilly,2
p:191519,Palmer Luckey,1
p:201260,Clement Bazan,2
p:201650,Jay Vijayan,3
p:201783,Brian Acton,5
p:20249,Rob Spiro,1
p:20250,Paul Bankhead,1
p:202566,Brian Axe,3
p:203,Joshua Schachter,1
p:204195,Vinodh Kumar,2
p:204772,Matteo Melani,2
p:205142,Laurence Aderemi,3
p:205782,Geoff Clapp,1
p:20755,Mike McCue,4
p:2095,Kevin Scott,5
p:209961,Sapna Mittal,2
p:210,Chris Tolles,2
p:211172,David Estrada,3
p:21563,Tal Riesenfeld,2
p:217336,Chip Conley,1
p:218144,Scott Perket,2
p:21891,Paul Tocatlian,1
p:2216,Avichal Garg,2
p:230955,Michael Rolph,1
p:23169,Pat McCarthy,1
p:23538,Bryan Veloso,3
p:240431,John Ayers,1
p:242601,Greg Methvin,1
p:246634,Derek Steer,2
